,CALIBRATION,TYPE,OLD PART NUMBER(S),NEW PART NUMBER(s),Year,Body,BC Description,BC Length,Engine Size
14954,2023 JL 3.6L PCM 850RE 110MPH 3.45AR G5 MEX JL - WRANGLER,PCM,"68434926AA, 68434926AA, 68434926AB, 68434926AC, 68434926AC, 68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610584AA, 68610584AB, 68610584AC",68610584AD,2023,JL,JL - WRANGLER,2,3.6L
14955,2023 JL 3.6L PCM 850RE 97MPH 3.45AR G5 M W M JL - WRANGLER,PCM,"68434926AA, 68434926AA, 68434926AB, 68434926AC, 68434926AC, 68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610585AA, 68610585AB, 68610585AC",68610585AD,2023,JL,JL - WRANGLER,2,3.6L
14956,2023 JL 3.6L PCM 850RE 97MPH 4.10 4:1 G5 50S JL - WRANGLER,PCM,"68434926AA, 68434926AA, 68434926AB, 68434926AC, 68434926AC, 68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610586AA, 68610586AB, 68610586AC",68610586AD,2023,JL,JL - WRANGLER,2,3.6L
14957,2023 JL 3.6L PCM 850RE 97MPH 4.10 4:1 G5 MEX JL - WRANGLER,PCM,"68434926AA, 68434926AA, 68434926AB, 68434926AC, 68434926AC, 68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610587AA, 68610587AB, 68610587AC",68610587AD,2023,JL,JL - WRANGLER,2,3.6L
14958,2023 JT 3.6L PCM MTX 3.73AR 110MPH 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610875AA, 68610875AB, 68610875AC, 68610875AD, 68610875AE",68610875AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14959,2023 JT 3.6L PCM MTX 3.73AR MO TOW 97MPH MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610893AA, 68610893AB, 68610893AC, 68610893AD, 68610893AE",68610893AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14960,2023 JT 3.6L PCM ESS 3.73AR 110MPH TOW MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610894AA, 68610894AB",68610894AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14962,2023 JT 3.6L PCM ESS 4.10AR 110MPH MTOW 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610895AA, 68610895AB",68610895AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14963,2023 JT 3.6L PCM ESS 4.10AR 110MPH MTOW MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610896AA, 68610896AB",68610896AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14964,2023 JT 3.6L PCM MTX 4.10AR MO TOW 97MPH 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610897AA, 68610897AB, 68610897AC, 68610897AD, 68610897AE",68610897AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14965,2023 JT 3.6L PCM ESS 4.10AR 97MPH TOW MO 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610898AA, 68610898AB",68610898AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14966,2023 JT 3.6L PCM MTX 4.10AR 110MPH MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610899AA, 68610899AB, 68610899AC, 68610899AD, 68610899AE",68610899AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14967,2023 JT 3.6L PCM ESS 4.10AR 97MPH TOW MO MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610900AA, 68610900AB",68610900AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14968,2023 JT 3.6L PCM MTX 4.10AR MO 97MPH 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610901AA, 68610901AB, 68610901AC, 68610901AD, 68610901AE",68610901AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14969,2023 JT 3.6L PCM ESS 4.10AR 97MPH MO 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610902AA, 68610902AB",68610902AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14970,2023 JT 3.6L PCM MTX 4.10AR MO 97MPH MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610903AA, 68610903AB, 68610903AC, 68610903AD, 68610903AE",68610903AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14971,2023 JT 3.6L PCM ESS 4.10AR 97MPH MO MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610904AA, 68610904AB",68610904AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14973,2023 JT 3.6L PCM ESS 4.10AR 97MPH MO EURO JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610905AA, 68610905AB",68610905AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14974,2023 JT 3.6L PCM ESS 4.10AR 97MPH RU 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610908AA, 68610908AB",68610908AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14975,2023 JT 3.6L PCM MTX 4.10AR RUBICON 97MPH MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610909AA, 68610909AB, 68610909AC, 68610909AD, 68610909AE",68610909AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14976,2023 JT 3.6L PCM ESS 4.10AR 97MPH RU MEX JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610910AA, 68610910AB",68610910AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14977,2023 JT 3.6L PCM ESS 4.10AR 97MPH 50S KOR JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610911AA, 68610911AB",68610911AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14978,2023 JT 3.6L PCM 850RE 4.10AR 4:1TC A EU6B JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610912AA, 68610912AB",68610912AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14979,2023 JT 3.6L PCM ESS 4.10AR 97MPH EU JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610913AA, 68610913AB",68610913AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14980,2023 JT 3.6L PCM 850RE 4.10AR 4:1TC ROW JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610914AA, 68610914AB",68610914AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14981,2023 JT 3.6L PCM ESS 4.10AR 97MPH JAP JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610915AA, 68610915AB",68610915AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14982,2023 JT 3.6L PCM ESS 4.10AR 110MPH MT AU JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610916AA, 68610916AB",68610916AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14983,2023 JT 3.6L PCM ESS 4.10AR 97MPH MO ROW JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610917AA, 68610917AB",68610917AC,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14985,2023 JT 3.6L PCM MTX 4.10AR RUBICON 97MPH 50S JT - SEBRING CONVERTIBLE,PCM,"68434927AA, 68434927AB, 68434927AB, 68434927AC, 68434927AC, 68610918AA, 68610918AB, 68610918AC, 68610918AD, 68610918AE",68610918AF,2023,JT,JT - SEBRING CONVERTIBLE,2,3.6L
14986,2023 LX 5.7L TCM 8HP70 RWD 2.615AR LX - 300 / MAGNUM / CHARGER,TCM,"68227332AA, 68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68610982AA,2023,LX,LX - 300 / MAGNUM / CHARGER,2,5.7L
14987,2023 LA 5.7L TCM 8HP70 3.07AR ROW 50S,TCM,"68227332AA, 68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68610983AA,2023,LA,,2,5.7L
14988,2023 LA 5.7L TCM 8HP70 3.09AR ROW 50S,TCM,"68227332AA, 68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68610984AA,2023,LA,,2,5.7L
14989,2023 LD 5.7L TCM 1 8HP70 2.615AR LD - CHARGER,TCM,"68227332AA, 68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68610985AA,2023,LD,LD - CHARGER,2,5.7L
14990,2023 LD 5.7L TCM 2 8HP70 2.615AR LD - CHARGER,TCM,"68227332AA, 68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68610986AA,2023,LD,LD - CHARGER,2,5.7L
14991,2022 H1 1.3L PCM AT6 BOLIVIA EQUADOR EURO 5,PCM,"68350434AC, 68350434AD, 68350434AD",68611085AA,2022,H1,,2,1.3L
14992,2023 LA 6.4L TCM 8HP70,TCM,"68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68611086AA,2023,LA,,2,6.4L
14993,2023 LD 6.4L TCM 8HP70 LD - CHARGER,TCM,"68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68611087AA,2023,LD,LD - CHARGER,2,6.4L
14994,2023 LX 6.4L TCM 8HP70 50S LX - 300 / MAGNUM / CHARGER,TCM,"68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68611088AA,2023,LX,LX - 300 / MAGNUM / CHARGER,2,6.4L
14995,2023 LA 6.4L TCM 8HP70 SRT DRAGPACK,TCM,"68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68275501AA, 68275501AA",68611125AA,2023,LA,,2,6.4L
14997,2023 LA 3.6L TCM 850RE RWD 2.615AR 50 STATE,TCM,"68275501AA, 68275501AA, 68391518AA, 68611458AA",68611458AB,2023,LA,,2,3.6L
14998,2023 LA 3.6L TCM 850RE RWD 3.077AR 50 STATE,TCM,"68275501AA, 68275501AA, 68391518AA, 68611459AA",68611459AB,2023,LA,,2,3.6L
14999,2023 LA 3.6L TCM 850RE AWD 3.077AR 50S GCC,TCM,"68275501AA, 68275501AA, 68391519AA, 68611460AA",68611460AB,2023,LA,,2,3.6L
15000,2023 LD 3.6L TCM 850RE AWD 3.077AR 300HP 50S LD - CHARGER,TCM,"68275501AA, 68275501AA, 68391519AA, 68611461AA",68611461AB,2023,LD,LD - CHARGER,2,3.6L
15001,2023 LD 3.6L TCM 850RE AWD 3.077AR 300HP BM LD - CHARGER,TCM,"68275501AA, 68275501AA, 68391519AA, 68611462AA",68611462AB,2023,LD,LD - CHARGER,2,3.6L
15002,2023 LD 3.6L TCM 850RE RWD 2.615AR 50S GCC LD - CHARGER,TCM,"68275501AA, 68275501AA, 68391518AA, 68611463AA",68611463AB,2023,LD,LD - CHARGER,2,3.6L
15003,2023 LD 3.6L TCM 850RE RWD 2.615AR PMBD GCC LD - CHARGER,TCM,"68275501AA, 68275501AA, 68391518AA, 68611464AA",68611464AB,2023,LD,LD - CHARGER,2,3.6L
15004,2023 LD 3.6L TCM 850RE RWD 3.077AR 300HP 50S LD - CHARGER,TCM,"68275501AA, 68275501AA, 68391518AA, 68611465AA",68611465AB,2023,LD,LD - CHARGER,2,3.6L
15005,2023 LD 3.6L TCM 850RE AWD 3.077AR 300 P 50S LD - CHARGER,TCM,"68275501AA, 68275501AA, 68391519AA, 68611466AA",68611466AB,2023,LD,LD - CHARGER,2,3.6L
15006,2023 LX 3.6L TCM 850RE RWD 2.615AR 50S GCC LX - 300 / MAGNUM / CHARGER,TCM,"68275501AA, 68275501AA, 68391518AA, 68611467AA",68611467AB,2023,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
15007,2023 LX 3.6L TCM 850RE AWD 3.077AR 50S GCC LX - 300 / MAGNUM / CHARGER,TCM,"68275501AA, 68275501AA, 68391519AA, 68611468AA",68611468AB,2023,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
15008,2023 LX 3.6L TCM 850RE RWD 2.615AR 300HP 50S LX - 300 / MAGNUM / CHARGER,TCM,"68275501AA, 68275501AA, 68391518AA, 68611469AA",68611469AB,2023,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
15009,2023 LX 3.6L TCM 850RE AWD 3.077AR 300HP 50S LX - 300 / MAGNUM / CHARGER,TCM,"68275501AA, 68275501AA, 68391519AA, 68611470AA",68611470AB,2023,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
15010,2023 LA 3.6L TCM 8HP50 RWD 2.615 AR,TCM,"68275501AA, 68275501AA, 68456184AA, 68611473AA, 68611473AB",68611473AC,2023,LA,,2,3.6L
15011,2023 LA 3.6L TCM 8HP50 RWD 3.077 AR,TCM,"68275501AA, 68275501AA, 68456184AA, 68611474AA, 68611474AB",68611474AC,2023,LA,,2,3.6L
15012,2023 LD 3.6L TCM 8HP50 RWD 2.615AR NAFTA LD - CHARGER,TCM,"68275501AA, 68275501AA, 68456184AA, 68611475AA, 68611475AB",68611475AC,2023,LD,LD - CHARGER,2,3.6L
15013,2023 LD 3.6L TCM 8HP50 RWD 3.077AR NAFTA LD - CHARGER,TCM,"68275501AA, 68275501AA, 68456184AA, 68611476AA, 68611476AB",68611476AC,2023,LD,LD - CHARGER,2,3.6L
15014,2023 LX 3.6L TCM 8HP50 RWD 2.615AR NAFTA LX - 300 / MAGNUM / CHARGER,TCM,"68275501AA, 68275501AA, 68456184AA, 68611477AA, 68611477AB",68611477AC,2023,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
15016,2023 LX 3.6L TCM 8HP50 RWD 2.615AR 300H NAFTA LX - 300 / MAGNUM / CHARGER,TCM,"68275501AA, 68275501AA, 68456184AA, 68611478AA, 68611478AB",68611478AC,2023,LX,LX - 300 / MAGNUM / CHARGER,2,3.6L
15017,2022 WL 2.0L HCP PHEV KOREA WL - GRAND CHEROKEE (NOW WK),HCP,"05185102AG, 05185102AH, 05185102AI, 05185102AI, 68611732AA, 68611732AB, 68611732AC, 68611732AD",68611732AF,2022,WL,WL - GRAND CHEROKEE (NOW WK),2,2.0L
15018,2021 - 2023 JL 6.4L DTCM JL - WRANGLER,DTCM,"68500609AA, 68500609AB, 68500609AC, 68547694AA, 68547694AB, 68547694AC, 68611943AA",68611943AB,2021,JL,JL - WRANGLER,2,6.4L
15019,2023 WL HCP 3.70AR PHEV KOREA WL - GRAND CHEROKEE (NOW WK),HCP,"05185102AG, 05185102AH, 05185102AI, 05185102AI, 68612475AA, 68612475AB, 68612475AC, 68612475AD, 68612475AE",68612475AF,2023,WL,WL - GRAND CHEROKEE (NOW WK),2,
15020,2023 WL HCP 3.70AR PHEV GCC WL - GRAND CHEROKEE (NOW WK),HCP,"05185102AG, 05185102AH, 05185102AI, 05185102AI, 68612476AA, 68612476AB, 68612476AC, 68612476AD, 68612476AE",68612476AF,2023,WL,WL - GRAND CHEROKEE (NOW WK),2,
15021,2022 WL 2.0L HCP PHEV GCC WL - GRAND CHEROKEE (NOW WK),HCP,"05185102AG, 05185102AH, 05185102AI, 05185102AI, 68612478AA, 68612478AB, 68612478AC, 68612478AD",68612478AF,2022,WL,WL - GRAND CHEROKEE (NOW WK),2,2.0L
15022,2023 BV 1.5L PCM MHEV GETRAG E6.4,PCM,68492624AA,68612969AC,2023,BV,,2,1.5L
15023,2023 MV 1.5L PCM GETRAG E6.4,PCM,68492624AA,68612970AB,2023,MV,,2,1.5L
15024,2023 WL 2.0L PCM PHEV 118MPH KOREA WL - GRAND CHEROKEE (NOW WK),PCM,"68414847AA, 68414847AB, 68414847AC, 68414847AD, 68414847AE, 68414847AF, 68414847AG, 68414847AH, 68414847AI, 68414847AJ, 68414847AK, 68612987AA, 68612987AB, 68612987AC, 68612987AD",68612987AE,2023,WL,WL - GRAND CHEROKEE (NOW WK),2,2.0L
15025,2023 JL 2.0L PCM 850RE 3.45AR SWB NAS JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613479AA, 68613479AB",68613479AC,2023,JL,JL - WRANGLER,2,2.0L
15026,2023 JL 2.0L PCM 850RE 3.73AR SWB 110 H NAS JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613480AA, 68613480AB",68613480AC,2023,JL,JL - WRANGLER,2,2.0L
15027,2023 JL 2.0L PCM 850RE 3.45AR SWB 110MPH MEX JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613481AA, 68613481AB",68613481AC,2023,JL,JL - WRANGLER,2,2.0L
15029,2023 JL 2.0L PCM 850RE 3.45AR SWB 97MPH W 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613482AA, 68613482AB",68613482AC,2023,JL,JL - WRANGLER,2,2.0L
15030,2023 JL 2.0L PCM 850RE 3.45AR SWB 97MPH W MEX JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613483AA, 68613483AB",68613483AC,2023,JL,JL - WRANGLER,2,2.0L
15031,2023 JL 2.0L PCM 850RE 3.45AR SWB 110 K 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613484AA, 68613484AB",68613484AC,2023,JL,JL - WRANGLER,2,2.0L
15032,2023 JL 2.0L PCM 850RE 3.45AR SWB 110 EURO 6 JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613485AA, 68613485AB",68613485AC,2023,JL,JL - WRANGLER,2,2.0L
15033,2023 JL 2.0L PCM 850RE 3.45AR SWB 110 EURO 6D JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613487AA, 68613487AB, 68613487AC",68613487AD,2023,JL,JL - WRANGLER,2,2.0L
15034,2023 JL 2.0L PCM 850RE 3.45AR SWB 110 JAPAN JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613488AA, 68613488AB",68613488AC,2023,JL,JL - WRANGLER,2,2.0L
15035,2023 JL 2.0L PCM 850RE 3.45AR SWB 110 CHINA 6 JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613489AA, 68613489AB, 68613489AC",68613489AD,2023,JL,JL - WRANGLER,2,2.0L
15036,2023 JL 2.0L PCM 850RE 3.45AR SWB 110MPH ROW JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613490AA, 68613490AB",68613490AC,2023,JL,JL - WRANGLER,2,2.0L
15037,2023 JL 2.0L PCM 850RE 3.45AR SWB 110MPH BRA JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613491AA, 68613491AB",68613491AC,2023,JL,JL - WRANGLER,2,2.0L
15038,2023 JL 2.0L PCM 850RE 3.45AR SWB 110MPH RUS JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613492AA, 68613492AB",68613492AC,2023,JL,JL - WRANGLER,2,2.0L
15039,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1T 97 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613493AA, 68613493AB",68613493AC,2023,JL,JL - WRANGLER,2,2.0L
15040,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1T 97 MEX JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613494AA, 68613494AB",68613494AC,2023,JL,JL - WRANGLER,2,2.0L
15041,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1 97 K 50 JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613495AA, 68613495AB",68613495AC,2023,JL,JL - WRANGLER,2,2.0L
15043,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1TC 97 E6 JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613496AA, 68613496AB",68613496AC,2023,JL,JL - WRANGLER,2,2.0L
15044,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1T 97 E6D JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613498AA, 68613498AB, 68613498AC",68613498AD,2023,JL,JL - WRANGLER,2,2.0L
15045,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1TC 97 J JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613499AA, 68613499AB",68613499AC,2023,JL,JL - WRANGLER,2,2.0L
15046,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1TC 97 CH JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613500AA, 68613500AB, 68613500AC",68613500AD,2023,JL,JL - WRANGLER,2,2.0L
15047,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1T 97 ROW JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613501AA, 68613501AB",68613501AC,2023,JL,JL - WRANGLER,2,2.0L
15048,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1T 110 BR JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613502AA, 68613502AB",68613502AC,2023,JL,JL - WRANGLER,2,2.0L
15049,2023 JL 2.0L PCM 850RE 4.10AR SWB 4:1TC 97 RU JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613503AA, 68613503AB",68613503AC,2023,JL,JL - WRANGLER,2,2.0L
15050,2023 JL 2.0L PCM 850RE 3.45AR 110MPH 50 STATE JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613504AA, 68613504AB",68613504AC,2023,JL,JL - WRANGLER,2,2.0L
15051,2023 JL 2.0L PCM 850RE 3.45AR 110MPH H 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613505AA, 68613505AB",68613505AC,2023,JL,JL - WRANGLER,2,2.0L
15052,2023 JL 2.0L PCM 850RE 3.45AR 110MPH MEXICO JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613506AA, 68613506AB",68613506AC,2023,JL,JL - WRANGLER,2,2.0L
15053,2023 JL 2.0L PCM 850RE 3.45AR 97MPH W 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613507AA, 68613507AB",68613507AC,2023,JL,JL - WRANGLER,2,2.0L
15054,2023 JL 2.0L PCM 850RE 3.45AR 97MPH W MEXICO JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613508AA, 68613508AB",68613508AC,2023,JL,JL - WRANGLER,2,2.0L
15055,2023 JL 2.0L PCM 850RE 3.45AR 110MPH K 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613509AA, 68613509AB",68613509AC,2023,JL,JL - WRANGLER,2,2.0L
15057,2023 JL 2.0L PCM 850RE 3.45AR 110MPH EURO 6 JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613510AA, 68613510AB",68613510AC,2023,JL,JL - WRANGLER,2,2.0L
15058,2023 JL 2.0L PCM 850RE 3.45AR 110MPH EURO 6D JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613512AA, 68613512AB, 68613512AC",68613512AD,2023,JL,JL - WRANGLER,2,2.0L
15059,2023 JL 2.0L PCM 850RE 3.45AR 110MPH INDIA JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613513AA",68613513AB,2023,JL,JL - WRANGLER,2,2.0L
15060,2023 JL 2.0L PCM 850RE 3.45AR 110MPH JAPAN JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613514AA, 68613514AB",68613514AC,2023,JL,JL - WRANGLER,2,2.0L
15061,2023 JL 2.0L PCM 850RE 3.45AR 110MPH CH6B JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613515AA, 68613515AB, 68613515AC",68613515AD,2023,JL,JL - WRANGLER,2,2.0L
15062,2022 B1 1.3L PCM AT6 CHILE / ROL EURO 5 B9 - COLT/SUMMIT CAR,PCM,"68350434AD, 68350434AD",68613551AB,2022,B9,B9 - COLT/SUMMIT CAR,2,1.3L
15063,2023 JL 2.0L PCM 850RE 4.10AR 4:1TC 97MPH IND JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613738AA",68613738AB,2023,JL,JL - WRANGLER,2,2.0L
15064,2023 JL 2.0L PCM 850RE 4.56AR 4:1 97MPH 35 50 JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613739AA, 68613739AB",68613739AC,2023,JL,JL - WRANGLER,2,2.0L
15065,2023 JL 2.0L PCM 850RE 4.56AR 97MPH 35 50S JL - WRANGLER,PCM,"05150861AH, 05150861AI, 05150861AJ, 05150861AJ, 68613740AA",68613740AB,2023,JL,JL - WRANGLER,2,2.0L
15066,2023 VF 3.6L PCM 948TE BOX ON 1 ERF 50 STATE,PCM,"68540972AI, 68540972AJ, 68540972AJ",68614151AA,2023,VF,,2,3.6L
15067,2023 JL 2.0L AHCP JL - WRANGLER,AHCP,"05185101AC, 05185101AD, 05185101AE, 05185101AF, 05185101AG, 05185101AH, 68614243AA, 68614243AB, 68614243AC, 68614243AD, 68614243AE",68614243AF,2023,JL,JL - WRANGLER,2,2.0L
15068,2023 JL 2.0L HCP 8HP75 3.73AR 50 STATE JL - WRANGLER,HCP,"05185101AC, 05185101AD, 05185101AE, 05185101AF, 05185101AG, 05185101AH, 68614244AA, 68614244AB, 68614244AC, 68614244AD, 68614244AE",68614244AF,2023,JL,JL - WRANGLER,2,2.0L
